play_session_id,user_id,start_datetime,end_datetime,channel_code,status_code,total_score,play_session_channel_code,english_description_x,french_description_x,play_session_status_code,english_description_y,french_description_y
40,25,2024-07-26T07:37:23.338-06:00,2024-07-26T11:51:23.338-06:00,BROWSER,COMPLETED,2081,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
41,266,2024-10-04T01:28:12.772-06:00,2024-10-04T09:06:12.772-06:00,MOBILE,TIMEOUT,2909,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
42,293,2024-03-29T07:49:20.432-06:00,2024-03-29T16:12:20.432-06:00,MOBILE,ABORTED,4537,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
43,424,2024-02-18T18:19:14.321-06:00,2024-02-18T20:19:14.321-06:00,MOBILE,TIMEOUT,4630,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
44,319,2024-07-12T08:33:47.505-06:00,2024-07-12T17:57:47.505-06:00,MOBILE,TIMEOUT,3985,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
45,183,2024-11-12T10:12:42.985-06:00,2024-11-12T13:59:42.985-06:00,BROWSER,ABORTED,1128,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
46,301,2024-02-10T13:38:00.583-06:00,2024-02-10T20:08:00.583-06:00,BROWSER,COMPLETED,2385,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
47,440,2024-06-12T19:16:59.881-06:00,2024-06-13T00:19:59.881-06:00,BROWSER,COMPLETED,4494,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
48,398,2024-04-30T14:32:46.112-06:00,2024-04-30T19:42:46.112-06:00,MOBILE,TIMEOUT,4080,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
49,132,2024-12-29T23:07:45.409-06:00,2024-12-30T03:03:45.409-06:00,MOBILE,COMPLETED,2469,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
50,3,2024-10-22T01:13:05.712-06:00,2024-10-22T08:57:05.712-06:00,BROWSER,COMPLETED,734,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
51,486,2024-07-22T03:11:09.831-06:00,2024-07-22T06:33:09.831-06:00,BROWSER,COMPLETED,692,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
52,131,2024-09-23T01:51:27.888-06:00,2024-09-23T08:37:27.888-06:00,MOBILE,TIMEOUT,483,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
53,131,2024-12-08T10:24:16.268-06:00,2024-12-08T15:52:16.268-06:00,BROWSER,COMPLETED,2528,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
54,385,2024-02-05T18:02:16.009-06:00,2024-02-05T23:52:16.009-06:00,BROWSER,COMPLETED,4697,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
55,159,2024-09-26T09:53:19.984-06:00,2024-09-26T18:50:19.984-06:00,BROWSER,ABORTED,561,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
56,299,2024-11-23T13:43:55.298-06:00,2024-11-23T17:45:55.298-06:00,MOBILE,ABORTED,3128,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
57,471,2024-08-04T15:56:58.067-06:00,2024-08-04T18:48:58.067-06:00,MOBILE,COMPLETED,1258,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
58,419,2024-12-08T08:18:18.975-06:00,2024-12-08T17:22:18.975-06:00,MOBILE,COMPLETED,4796,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
59,359,2024-01-30T01:10:33.605-06:00,2024-01-30T09:59:33.605-06:00,MOBILE,ABORTED,1196,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
60,259,2024-10-06T11:11:46.487-06:00,2024-10-06T18:30:46.487-06:00,BROWSER,ABORTED,4923,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
61,167,2024-11-07T17:27:54.401-06:00,2024-11-07T21:12:54.401-06:00,BROWSER,COMPLETED,1376,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
62,307,2024-03-12T15:52:11.168-06:00,2024-03-12T16:45:11.168-06:00,MOBILE,TIMEOUT,276,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
63,260,2024-01-30T12:17:49.549-06:00,2024-01-30T16:24:49.549-06:00,BROWSER,COMPLETED,2289,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
64,20,2024-08-26T10:59:00.072-06:00,2024-08-26T15:42:00.072-06:00,MOBILE,TIMEOUT,4182,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
65,189,2024-01-14T06:48:45.321-06:00,2024-01-14T08:42:45.321-06:00,MOBILE,TIMEOUT,2662,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
66,201,2024-11-04T05:57:16.661-06:00,2024-11-04T13:35:16.661-06:00,MOBILE,TIMEOUT,4745,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
67,419,2024-12-26T22:15:21.594-06:00,2024-12-27T05:14:21.594-06:00,BROWSER,TIMEOUT,1385,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
68,98,2024-09-23T09:48:14.908-06:00,2024-09-23T14:51:14.908-06:00,MOBILE,COMPLETED,718,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
69,159,2024-11-29T20:35:46.259-06:00,2024-11-30T06:26:46.259-06:00,MOBILE,COMPLETED,4064,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
70,199,2024-08-08T23:15:45.966-06:00,2024-08-09T06:36:45.966-06:00,BROWSER,COMPLETED,1185,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
71,68,2024-10-06T17:38:23.459-06:00,2024-10-06T22:25:23.459-06:00,MOBILE,COMPLETED,2592,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
72,131,2024-12-09T00:23:49.795-06:00,2024-12-09T03:17:49.795-06:00,MOBILE,TIMEOUT,1839,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
73,370,2024-03-17T02:48:09.219-06:00,2024-03-17T11:43:09.219-06:00,MOBILE,COMPLETED,4134,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
74,68,2024-11-11T14:18:42.482-06:00,2024-11-12T00:02:42.482-06:00,MOBILE,ABORTED,4734,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
75,438,2024-02-17T17:44:17.598-06:00,2024-02-17T20:44:17.598-06:00,MOBILE,ABORTED,1181,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
76,144,2024-11-06T22:21:03.502-06:00,2024-11-07T04:45:03.502-06:00,BROWSER,COMPLETED,2648,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
77,9,2024-02-08T10:43:18.384-06:00,2024-02-08T16:03:18.384-06:00,MOBILE,TIMEOUT,2319,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
78,140,2024-12-21T14:01:36.341-06:00,2024-12-21T15:50:36.341-06:00,MOBILE,TIMEOUT,4868,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
79,149,2024-12-25T20:10:51.386-06:00,2024-12-26T01:41:51.386-06:00,BROWSER,COMPLETED,3524,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
80,188,2024-04-17T00:58:52.279-06:00,2024-04-17T05:39:52.279-06:00,MOBILE,TIMEOUT,2937,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
81,375,2024-07-13T02:31:27.900-06:00,2024-07-13T08:37:27.900-06:00,MOBILE,COMPLETED,793,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
82,258,2024-10-13T11:15:06.485-06:00,2024-10-13T18:12:06.485-06:00,BROWSER,TIMEOUT,1051,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
83,400,2024-08-20T01:38:05.505-06:00,2024-08-20T05:48:05.505-06:00,MOBILE,ABORTED,2501,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
84,138,2024-05-26T21:16:24.939-06:00,2024-05-26T21:57:24.939-06:00,BROWSER,ABORTED,433,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
85,274,2024-03-23T08:41:39.403-06:00,2024-03-23T10:32:39.403-06:00,MOBILE,ABORTED,3192,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
86,269,2024-12-30T04:34:17.339-06:00,2024-12-30T11:48:17.339-06:00,MOBILE,TIMEOUT,4758,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
87,279,2024-09-25T18:50:48.744-06:00,2024-09-26T04:33:48.744-06:00,MOBILE,ABORTED,4815,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
88,308,2024-10-30T09:34:54.465-06:00,2024-10-30T10:47:54.465-06:00,MOBILE,ABORTED,2294,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
89,210,2024-04-07T05:03:37.500-06:00,2024-04-07T12:23:37.500-06:00,BROWSER,COMPLETED,1307,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
90,489,2024-05-21T19:59:55.306-06:00,2024-05-21T23:11:55.306-06:00,BROWSER,TIMEOUT,1146,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
91,127,2024-08-20T21:05:24.126-06:00,2024-08-21T05:21:24.126-06:00,BROWSER,TIMEOUT,3440,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
92,422,2024-11-01T20:30:21.857-06:00,2024-11-02T03:36:21.857-06:00,BROWSER,TIMEOUT,4819,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
93,46,2024-05-30T07:49:21.486-06:00,2024-05-30T07:57:21.486-06:00,MOBILE,ABORTED,1095,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
94,73,2024-02-28T08:35:40.578-06:00,2024-02-28T10:43:40.578-06:00,BROWSER,ABORTED,2691,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
95,330,2024-01-15T15:42:06.737-06:00,2024-01-15T23:20:06.737-06:00,MOBILE,COMPLETED,4830,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
96,343,2024-11-19T03:20:55.348-06:00,2024-11-19T09:04:55.348-06:00,MOBILE,COMPLETED,1009,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
97,89,2024-06-20T13:43:50.596-06:00,2024-06-20T14:25:50.596-06:00,MOBILE,COMPLETED,3898,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
98,420,2024-01-24T02:40:22.195-06:00,2024-01-24T05:47:22.195-06:00,BROWSER,COMPLETED,2614,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
99,313,2024-10-16T20:27:21.411-06:00,2024-10-17T05:18:21.411-06:00,MOBILE,ABORTED,4957,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
100,333,2024-05-06T22:41:11.882-06:00,2024-05-07T06:23:11.882-06:00,BROWSER,COMPLETED,4229,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
101,109,2024-07-27T23:56:02.919-06:00,2024-07-28T07:10:02.919-06:00,BROWSER,COMPLETED,1891,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
102,381,2024-02-11T22:37:40.079-06:00,2024-02-12T01:08:40.079-06:00,BROWSER,ABORTED,1050,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
103,173,2024-12-16T05:34:31.439-06:00,2024-12-16T10:11:31.439-06:00,BROWSER,TIMEOUT,1438,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
104,222,2024-12-18T20:32:39.673-06:00,2024-12-18T21:39:39.673-06:00,BROWSER,ABORTED,2373,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
105,276,2024-11-30T08:26:27.920-06:00,2024-11-30T09:04:27.920-06:00,MOBILE,ABORTED,2372,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
106,500,2024-09-19T22:24:37.192-06:00,2024-09-20T05:40:37.192-06:00,BROWSER,TIMEOUT,1842,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
107,86,2024-10-02T04:41:22.205-06:00,2024-10-02T10:31:22.205-06:00,MOBILE,COMPLETED,1785,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
108,50,2024-09-23T22:29:18.360-06:00,2024-09-24T06:01:18.360-06:00,MOBILE,ABORTED,1170,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
109,179,2024-08-19T09:31:33.940-06:00,2024-08-19T13:26:33.940-06:00,BROWSER,ABORTED,1716,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
110,81,2024-08-01T02:52:58.208-06:00,2024-08-01T12:41:58.208-06:00,BROWSER,COMPLETED,859,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
111,392,2024-10-16T22:46:16.300-06:00,2024-10-17T03:38:16.300-06:00,BROWSER,COMPLETED,640,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
112,195,2024-06-29T07:00:12.004-06:00,2024-06-29T07:53:12.004-06:00,BROWSER,COMPLETED,3863,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
113,145,2024-12-27T08:24:42.416-06:00,2024-12-27T16:19:42.416-06:00,MOBILE,TIMEOUT,3338,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
114,288,2024-02-06T13:09:55.901-06:00,2024-02-06T14:37:55.901-06:00,MOBILE,ABORTED,4413,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
115,307,2024-06-12T19:21:15.943-06:00,2024-06-13T01:11:15.943-06:00,BROWSER,COMPLETED,3710,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
116,126,2024-11-20T22:12:29.568-06:00,2024-11-21T02:31:29.568-06:00,BROWSER,ABORTED,3504,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
117,220,2024-03-12T04:21:31.596-06:00,2024-03-12T12:24:31.596-06:00,MOBILE,ABORTED,1303,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
118,418,2024-06-26T10:33:16.725-06:00,2024-06-26T11:37:16.725-06:00,MOBILE,COMPLETED,772,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
119,401,2024-05-25T01:22:43.518-06:00,2024-05-25T01:59:43.518-06:00,MOBILE,ABORTED,2038,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
120,34,2024-09-27T12:30:42.793-06:00,2024-09-27T21:50:42.793-06:00,BROWSER,ABORTED,2854,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
121,313,2024-12-20T05:47:50.251-06:00,2024-12-20T11:16:50.251-06:00,BROWSER,TIMEOUT,4128,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
122,302,2024-06-18T05:47:26.230-06:00,2024-06-18T09:30:26.230-06:00,MOBILE,ABORTED,214,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
123,167,2024-12-16T09:22:00.731-06:00,2024-12-16T12:10:00.731-06:00,MOBILE,COMPLETED,2542,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
124,134,2024-09-25T20:03:10.865-06:00,2024-09-26T03:36:10.865-06:00,MOBILE,TIMEOUT,2201,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
125,288,2024-08-27T21:58:42.176-06:00,2024-08-28T05:42:42.176-06:00,BROWSER,ABORTED,2948,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
126,252,2024-11-17T04:48:00.344-06:00,2024-11-17T08:09:00.344-06:00,MOBILE,COMPLETED,3328,MOBILE,Mobile application,Application mobile,COMPLETED,Session completed,Session terminée
127,88,2024-07-10T18:56:42.681-06:00,2024-07-11T03:44:42.681-06:00,BROWSER,TIMEOUT,4809,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
128,240,2024-01-12T05:30:10.875-06:00,2024-01-12T12:26:10.875-06:00,BROWSER,COMPLETED,3515,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
129,369,2024-10-10T15:44:13.376-06:00,2024-10-10T19:09:13.376-06:00,BROWSER,TIMEOUT,551,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
130,207,2024-10-24T06:57:56.734-06:00,2024-10-24T09:27:56.734-06:00,BROWSER,TIMEOUT,1961,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
131,114,2024-07-19T16:28:05.883-06:00,2024-07-19T20:22:05.883-06:00,BROWSER,COMPLETED,1092,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
132,412,2024-09-10T08:07:07.170-06:00,2024-09-10T15:41:07.170-06:00,MOBILE,ABORTED,2892,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
133,401,2024-12-01T06:52:45.948-06:00,2024-12-01T07:13:45.948-06:00,BROWSER,ABORTED,461,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
134,211,2024-10-09T17:41:57.180-06:00,2024-10-09T18:55:57.180-06:00,BROWSER,COMPLETED,4057,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
135,407,2024-06-07T14:34:40.309-06:00,2024-06-07T23:11:40.309-06:00,MOBILE,ABORTED,2673,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
136,234,2024-06-01T21:18:12.285-06:00,2024-06-01T22:18:12.285-06:00,BROWSER,ABORTED,4816,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
137,278,2024-05-17T15:29:48.603-06:00,2024-05-17T20:04:48.603-06:00,MOBILE,ABORTED,4265,MOBILE,Mobile application,Application mobile,ABORTED,Session aborted,Session interrompue
138,270,2024-01-21T09:18:13.326-06:00,2024-01-21T16:21:13.326-06:00,BROWSER,TIMEOUT,2708,BROWSER,Browser,Navigateur,TIMEOUT,Session timeout,Délai d'expiration de la session
139,163,2024-05-21T15:37:32.076-06:00,2024-05-21T19:35:32.076-06:00,MOBILE,TIMEOUT,3929,MOBILE,Mobile application,Application mobile,TIMEOUT,Session timeout,Délai d'expiration de la session
140,301,2024-10-05T06:14:39.717-06:00,2024-10-05T12:05:39.717-06:00,BROWSER,ABORTED,3016,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
141,307,2024-12-17T15:18:57.327-06:00,2024-12-17T20:03:57.327-06:00,BROWSER,COMPLETED,4619,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
142,434,2024-10-21T15:19:21.743-06:00,2024-10-21T20:35:21.743-06:00,BROWSER,COMPLETED,4213,BROWSER,Browser,Navigateur,COMPLETED,Session completed,Session terminée
143,201,2024-12-12T22:52:44.055-06:00,2024-12-12T23:46:44.055-06:00,BROWSER,ABORTED,1079,BROWSER,Browser,Navigateur,ABORTED,Session aborted,Session interrompue
